"","x"
"1",0.05159255747322
"2",0.0156530227476847
"3",0.00142448318235466
"4",0.0046443837517447
"5",0.022694824583515
"6",0.00868749206377561
"7",0.00543927920560361
"8",0.000596356640029216
"9",0.00166351880055482
"10",0.0297034986316348
"11",0.00243218029964565
"12",0.000548728618046668
"13",0.00396980553557991
"14",0.000633962857929271
"15",0.0122250663647092
"16",0.0107147233708056
"17",0.00753361543338349
"18",0.0134397034130078
"19",0.00812563407934108
"20",0.00220614498687466
"21",0.0069232317090181
"22",0.00443146547495987
"23",0.000499310237171979
"24",0.000228813710389408
"25",0.0259842013749978
"26",0.00571790850050669
"27",0.00615313012255758
"28",0.00360241158514973
"29",0.0088537357341788
"30",0.00186271725093334
"31",0.000117685636255693
"32",0.0245889506950804
"33",0.0882724689090366
"34",0.0198300171249357
"35",0.0645441260796955
"36",0.0128713424748702
"37",0.00761603493463514
"38",0.0153524307900862
"39",0.0205736572543056
"40",0.0095260216645997
"41",0.000492861358106556
"42",0.00198428349749857
"43",0.000291031878314363
"44",0.000369437434789122
"45",0.00590943778868502
"46",0.00908131947967283
"47",0.00318767076329685
"48",0.0163876646833347
"49",0.00252069472586181
"50",0.000949450549367348
"51",0.00194058037114986
"52",0.00254068939615582
"53",0.00526605494607402
"54",0.00851113740295839
"55",0.00168009341792674
"56",0.000423428068411336
"57",0.00280342360478469
"58",0.0388301841299926
"59",0.0551050817187198
"60",0.000803703661335864
"61",0.00184866127554895
"62",0.00050922443810153
"63",0.00736352675251495
"64",0.00304601750339184
"65",0.0129175575125366
"66",0.0284781137712797
"67",0.000611458280264876
"68",0.00771455174205105
"69",1.040944306685e-05
"70",0.00659989906032721
"71",0.00399756081031333
"72",0.00398994218002369
"73",0.00886865856750252
"74",0.0119610544593437
"75",0.0567337693296674
"76",0.0036867368272322
"77",0.0101912599411353
"78",0.00814437270771917
"79",0.0106592215682577
"80",0.025709776121663
"81",0.0010121929173309
"82",0.00162108224715485
"83",0.000500896978939958
"84",0.00529625126173505
"85",0.00177133144312069
"86",0.0294616650391263
"87",0.00104269082879915
"88",0.00711870939406511
"89",0.000148952462573737
"90",0.00589349373863968
"91",0.00554512834881027
"92",0.000567772380290932
"93",0.00821214578992802
"94",0.00932747049780669
"95",0.0106391121757355
"96",0.000697865211045867
"97",0.000506735421259674
"98",0.0303840029542588
"99",0.00709765136654683
"100",0.0230816421165135
"101",0.00658146772017887
"102",0.00145726566261151
"103",0.00361126004058376
"104",0.00018832175098249
"105",0.000340808843917628
"106",0.00597739356400806
"107",0.0127338224100276
"108",0.0759725124434736
"109",0.0450349774603556
"110",0.000141195368580815
"111",0.0331181134341487
"112",0.00559466825904842
"113",0.00407515818201987
"114",0.0135412610841532
"115",0.00809761138739229
"116",0.0038603561801992
"117",0.0117092222509321
"118",0.0180846213036279
"119",0.0430607677109678
"120",0.000190117002038748
"121",0.0593238179578425
"122",0.0012289516088676
"123",0.000295248378659907
"124",0.004604717216805
"125",0.0335808650845771
"126",0.0257327802222732
"127",0.000506911096613383
"128",0.00169097972883026
"129",0.0519192411319348
"130",0.00136867272311825
"131",0.00155791339885092
"132",0.00517387383223078
"133",0.0485204121124756
"134",0.00464298577269207
"135",0.00394480270858066
"136",0.000641825943583751
"137",0.000242990185158054
"138",0.0913081163216222
"139",0.0118097918167258
"140",0.0575905149238021
"141",0.00674624502314081
"142",0.0492317044378667
"143",0.0271285310332868
"144",0.000178497497167363
"145",0.0528591928239038
"146",0.000844766834633526
"147",0.001961333062524
"148",0.00277336497513803
"149",0.00513943025280983
"150",0.00164418546746248
"151",0.000147526536313336
"152",0.00643336103677195
"153",0.0091081917843181
"154",0.0151717370348714
"155",0.00381357476031219
"156",0.00792198538673916
"157",0.00533781667643896
"158",0.00380911150408159
"159",0.0156131102801066
"160",0.00291677899829501
"161",0.000316449087905069
"162",0.00243260209101248
"163",0.00390211918272332
"164",0.00690319654193106
"165",0.00349662259190453
"166",0.00140516988492334
"167",0.00383371358614959
"168",0.0413022461087392
"169",0.00682315157355939
"170",0.00572601758903091
"171",0.0028444817769584
"172",0.0279165429462231
"173",0.0280013224753476
"174",0.0101313877157649
"175",0.00229498798407624
"176",0.0199843880189408
"177",0.00345867166058533
"178",0.000586588612225936
"179",0.0321845566383449
"180",0.00242321876184604
"181",0.00513999931375397
"182",0.0176484257396358
"183",0.0285160251437915
"184",0.00183641070028684
"185",0.0163183602465498
"186",0.0512490104486372
"187",0.00210418692020331
"188",0.00205118294694273
"189",0.0545632298099277
"190",0.00108659172444925
"191",0.0175607982594062
"192",0.00266077662490127
"193",0.0142843084084879
"194",0.00844220546583596
"195",0.0095934167400169
"196",0.0037249887286479
"197",0.00178562026889895
"198",1.22937502313736e-05
"199",0.015882481351159
"200",0.0081159105886357
"201",0.00253181601751984
"202",0.0642217142291467
"203",0.0122355927128529
"204",0.0010010796073141
"205",0.00105381432173302
"206",0.0053136480965269
"207",0.0130873611771253
"208",0.0114132886692562
"209",0.0229638029795972
"210",0.0182594556177673
"211",0.00450189235007414
"212",0.000258988261648829
"213",0.0106637347364332
"214",0.018227234280071
"215",0.00549647302673895
"216",0.00181328892981902
"217",0.000567482056293644
"218",0.00728251982067607
"219",0.00326368119489995
"220",0.00490416956458917
"221",0.000492957514072967
"222",0.00198372065655994
"223",0.017807851948421
"224",0.00141995138085615
"225",0.000238005191103507
"226",0.00359020034023139
"227",0.0207250317021664
"228",0.00174166103555462
"229",0.00775241050971487
"230",0.000888122739481023
"231",0.0130089497470294
"232",0.0253114193907169
"233",0.000440046667197103
"234",0.000225509025999715
"235",0.0225483563314171
"236",0.000106449256717989
"237",0.00973680849890313
"238",0.0087928361075208
"239",0.0233498365975719
"240",0.0027627247116615
"241",0.00439085087097724
"242",0.0202822709871726
"243",0.00954115264827216
"244",0.00495829426139749
"245",0.0314104810766045
"246",0.00457263930001661
"247",0.000626592164004958
"248",9.90664566610233e-05
"249",0.00544195976476558
"250",0.0235729150209901
"251",8.28138752030361e-05
"252",0.0334305799853467
"253",0.0332321787773773
"254",0.0136371466333624
"255",0.00165246323326307
"256",0.00788295215641344
"257",0.000703056860700935
"258",0.0187101817553231
"259",0.00200877697348167
"260",0.0110970420823593
"261",0.0544222926431617
"262",0.00521091149408526
"263",0.00530922480068474
"264",0.0110017738378505
"265",0.0177039991716083
"266",0.0152914030766005
"267",0.0015987138230078
"268",0.0370218597802657
"269",0.00159665061722114
"270",0.00828232660591799
"271",0.000220361551172554
"272",0.007292217980302
"273",0.00520574024751408
"274",0.00275853166383189
"275",0.0123415766907521
"276",0.00612111272584415
"277",0.0383443146062529
"278",0.0103990728986246
"279",0.030990120947689
"280",0.0579086779202828
"281",0.00745155284993515
"282",0.0454440509287332
"283",0.0277593303179313
"284",0.000149952248289176
"285",0.0377090723615346
"286",0.0284265046946419
"287",0.00374266835331027
"288",0.0236248065514939
"289",0.00721918599739046
"290",0.00129959326652751
"291",0.000700787888588073
"292",0.0115148962376105
"293",0.0243121286820923
"294",0.118468332402428
"295",0.00082487171254797
"296",0.00539581238022468
"297",0.00232266409033066
"298",0.000893468686215426
"299",0.00200224614593603
"300",0.000614557082327938
"301",6.90152090812024e-05
"302",0.00410832120903315
"303",0.000591729966245791
"304",0.00525828955438223
"305",0.00288964494637622
"306",0.0167958022319983
"307",0.00141410143186627
"308",0.00510213022698136
"309",0.000131686585745361
"310",0.00601301606530424
"311",0.001846544095922
"312",0.000512310983245445
"313",0.0278262683819123
"314",0.000890926907729184
"315",0.0227924366263352
"316",0.00267038553194576
"317",0.00695133361897626
"318",0.00871582633024992
"319",0.0638971334707896
"320",0.00173983923321974
"321",0.0234812562198179
"322",0.000810433503960706
"323",0.0140679022668967
"324",0.00081902481444307
"325",0.00546126735298691
"326",0.0141187058399896
"327",0.0240928518638462
"328",0.02091652669457
"329",0.00020664149432803
"330",0.013768931895156
"331",0.00372445914849817
"332",0.0335860039862883
"333",3.25952543155372e-05
"334",0.000456192088329921
"335",0.00131096425716737
"336",0.0111058800082797
"337",0.0275422913840161
"338",0.00273636015913004
